Time,Y_1,Y_2,X_1,X_2,U_1,U_2
1.0,0.12569337,0.33146906,0.12569337,0.33146906,0.07450494,0.06411304
2.0,0.11733116,0.32291108,0.11733116,0.32291108,0.07450494,0.06411304
3.0,0.10944321,0.31418315,0.10944321,0.31418315,0.07450494,0.06411304
4.0,0.10201798,0.30530667,0.10201798,0.30530667,0.07450494,0.06411304
5.0,0.09504341,0.2963032,0.09504341,0.2963032,0.07450494,0.06411304
6.0,0.08850692,0.28719452,0.08850692,0.28719452,0.07450494,0.06411304
7.0,0.082395375,0.27800247,0.082395375,0.27800247,0.07450494,0.06411304
8.0,0.07669512,0.26874906,0.07669512,0.26874906,0.07450494,0.06411304
9.0,0.07139197,0.2594564,0.07139197,0.2594564,0.07450494,0.06411304
10.0,0.066471234,0.25014666,0.066471234,0.25014666,0.07450494,0.06411304
11.0,0.06191774,0.24084193,0.06191774,0.24084193,0.07450494,0.06411304
12.0,0.05771586,0.23156436,0.05771586,0.23156436,0.07450494,0.06411304
13.0,0.05384956,0.22233588,0.05384956,0.22233588,0.07450494,0.06411304
14.0,0.05030247,0.21317822,0.05030247,0.21317822,0.07450494,0.06411304
15.0,0.047057923,0.2041128,0.047057923,0.2041128,0.07450494,0.06411304
16.0,0.044099074,0.19516058,0.044099074,0.19516058,0.07450494,0.06411304
17.0,0.04140896,0.186342,0.04140896,0.186342,0.07450494,0.06411304
18.0,0.038970597,0.17767677,0.038970597,0.17767677,0.07450494,0.06411304
19.0,0.036767107,0.16918382,0.036767107,0.16918382,0.07450494,0.06411304
20.0,0.034781806,0.16088107,0.034781806,0.16088107,0.07450494,0.06411304
21.0,0.03299833,0.15278542,0.03299833,0.15278542,0.07450494,0.06411304
22.0,0.031400733,0.14491248,0.031400733,0.14491248,0.07450494,0.06411304
23.0,0.029973587,0.13727655,0.029973587,0.13727655,0.07450494,0.06411304
24.0,0.028702103,0.12989043,0.028702103,0.12989043,0.07450494,0.06411304
25.0,0.027572159,0.12276543,0.027572159,0.12276543,0.07450494,0.06411304
26.0,0.0265704,0.11591124,0.0265704,0.11591124,0.07450494,0.06411304
27.0,0.025684282,0.109335855,0.025684282,0.109335855,0.07450494,0.06411304
28.0,0.024902098,0.10304562,0.024902098,0.10304562,0.07450494,0.06411304
29.0,0.024213,0.09704514,0.024213,0.09704514,0.07450494,0.06411304
30.0,0.023606997,0.09133737,0.023606997,0.09133737,0.07450494,0.06411304
31.0,0.023074944,0.085923575,0.023074944,0.085923575,0.07450494,0.06411304
32.0,0.022608515,0.080803454,0.022608515,0.080803454,0.07450494,0.06411304
33.0,0.022200167,0.075975135,0.022200167,0.075975135,0.07450494,0.06411304
34.0,0.021843104,0.071435295,0.021843104,0.071435295,0.07450494,0.06411304
35.0,0.021531226,0.067179255,0.021531226,0.067179255,0.07450494,0.06411304
36.0,0.021259082,0.06320104,0.021259082,0.06320104,0.07450494,0.06411304
37.0,0.021021819,0.05949352,0.021021819,0.05949352,0.07450494,0.06411304
38.0,0.020815123,0.056048516,0.020815123,0.056048516,0.07450494,0.06411304
39.0,0.02063518,0.052856922,0.02063518,0.052856922,0.07450494,0.06411304
40.0,0.020478623,0.049908824,0.020478623,0.049908824,0.07450494,0.06411304
41.0,0.020342484,0.047193628,0.020342484,0.047193628,0.07450494,0.06411304
